feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,2.2023849487304688,0.9782106280326843,2.2757346630096436,0.9767351150512695,-0.0733497142791748
price_only,1,3,3.4049596786499023,0.9475562572479248,3.3070921897888184,0.9505277276039124,0.09786748886108398
price_only,1,5,3.8393056392669678,0.9329057335853577,3.8658030033111572,0.9319764375686646,-0.026497364044189453
price_only,1,10,5.241122722625732,0.8731371760368347,5.1850433349609375,0.875837504863739,0.05607938766479492
price_only,1,15,6.3628997802734375,0.8102226257324219,6.173303604125977,0.8213638067245483,0.18959617614746094
price_plus_sentiment,5,1,2.4839909076690674,0.9722822308540344,3.4654288291931152,0.9460523724555969,-0.9814379215240479
price_plus_sentiment,5,3,3.3731470108032227,0.9485316872596741,3.9311232566833496,0.9300958514213562,-0.557976245880127
price_plus_sentiment,5,5,4.376845359802246,0.9128028154373169,4.892971515655518,0.8910253643989563,-0.5161261558532715
price_plus_sentiment,5,10,5.72244119644165,0.8487663269042969,5.807465076446533,0.8442389369010925,-0.08502388000488281
price_plus_sentiment,5,15,6.950971603393555,0.7735223770141602,7.264820098876953,0.7526090145111084,-0.31384849548339844
